Street,City,State,ZIP Code,Price,Beds,Baths,Square Feet,URL,Coordinates,Drive Time (mins),Distance (miles)
1013 S Starrett Rd,Metairie,LA,70003,210000,3,2,1300,https://www.redfin.com/LA/Metairie/1013-S-Starrett-Rd-70003/home/79282200,"29.976511001576, -90.231011998947",20.6,10.7
3520 Hero Dr,Gretna,LA,70056,195000,3,1.5,1220,https://www.redfin.com/LA/Gretna/3520-Hero-Dr-70053/home/79450845,"29.884137986174, -90.047515961364",15.8,7.7
146 Elodie Ave,Harahan,LA,70123,187900,3,2,1571,https://www.redfin.com/LA/New-Orleans/146-Elodie-Ave-70123/home/85193747,"29.938110988558, -90.193809005522",18.3,9.1
1151 Avenue D Ave,Westwego,LA,70094,175000,2,1.5,1327,https://www.redfin.com/LA/Westwego/1151-Avenue-D-70094/home/79217609,"29.897077004377, -90.148458969848",17.2,11.3
2114 Ninth St,Kenner,LA,70062,125000,4,2,1426,https://www.redfin.com/LA/Kenner/2114-9th-St-70062/home/85190044,"29.980636993414, -90.242722020598",20.9,13.7
4900 Argonne St,Metairie,LA,70001,210000,3,2,1500,https://www.redfin.com/LA/Metairie/4900-Argonne-St-70001/home/85162282,"29.993159011934, -90.189777980647",13.6,8.9
5425 Tulip Ct,Marrero,LA,70072,160000,3,2,1426,https://www.redfin.com/LA/Marrero/5425-Tulip-Ct-70072/home/79448104,"29.845552020634, -90.129616032415",22.9,12.9
733 Morningside Dr,Terrytown,LA,70056,209000,4,2.5,1620,https://www.redfin.com/LA/Gretna/733-Morningside-Dr-70056/home/85117572,"29.897575979073, -90.020653973343",13.3,6.6
1638 Stafford St,Gretna,LA,70053,175000,3,2,1320,https://www.redfin.com/LA/Gretna/1638-Stafford-St-70053/home/79336003,"29.904796988659, -90.05852601028",10.9,5.8
9416 Cabildo Ln,Westwego,LA,70094,99900,4,2,1411,https://www.redfin.com/LA/Westwego/9416-Cabildo-Ln-70094/home/85141502,"29.913301016164, -90.160666038357",19.8,12.6
1345 Avenue C,Marrero,LA,70072,220000,4,2.5,1762,https://www.redfin.com/LA/Marrero/1345-Avenue-C-70072/home/79177944,"29.887099983118, -90.093299006155",15.4,8.6
2404 Timbers Dr,Harvey,LA,70058,219000,3,2,1487,https://www.redfin.com/LA/Harvey/2404-Timbers-Dr-70058/home/85223838,"29.863254013408, -90.079199974462",18.7,10.2
2141 Esplanade Pl,Gretna,LA,70056,199000,3,2,1951,https://www.redfin.com/LA/Gretna/2141-Esplanade-Pl-70056/home/85118092,"29.903119015462, -90.02535404173",12.7,5.8
840 Morningside Dr,Gretna,LA,70056,185000,3,2,1410,https://www.redfin.com/LA/Gretna/840-Morningside-Dr-70056/home/85117331,"29.893077998372, -90.022231028426",14.1,7.0
1523 West Dr,Westwego,LA,70094,199990,2,2,1200,https://www.redfin.com/LA/Westwego/1523-West-Dr-70094/home/85228276,"29.889075226838, -90.144708993987",17.6,11.3
4967 A Jean Lafitte Blvd,Lafitte,LA,70067,73000,3,2,1800,https://www.redfin.com/LA/Lafitte/4967a-Jean-Lafitte-Blvd-70067/home/188995504,"29.661671300551, -90.109148041833",47.7,28.2
117 Baylor Pl,Kenner,LA,70065,205000,3,2,1284,https://www.redfin.com/LA/Kenner/117-Baylor-Pl-70065/home/85191547,"30.008737994362, -90.27346902074",20.4,13.9
1620 Maplewood Dr,Harvey,LA,70058,190000,3,2,1300,https://www.redfin.com/LA/Harvey/1620-Maplewood-Dr-70058/home/85124642,"29.883432020379, -90.065790019029",14.8,7.6
5504 Sabine Dr,Marrero,LA,70072,200000,4,2,1832,https://www.redfin.com/LA/Marrero/5504-Sabine-Dr-70072/home/77305494,"29.869465003661, -90.107499961791",18.7,11.0
1321 Trudeau Dr,Metairie,LA,70003,199000,4,2,1700,https://www.redfin.com/LA/Metairie/1321-Trudeau-Dr-70003/home/85177821,"29.991012993264, -90.217492994954",19.4,11.8
885 Oakwood Dr,Terrytown,LA,70056,145900,3,2,1457,https://www.redfin.com/LA/Gretna/885-Oakwood-Dr-70056/home/85119100,"29.891490004906, -90.022878027532",14.2,6.5
672 Wiegand Dr,Westwego,LA,70094,220000,4,2,1307,https://www.redfin.com/LA/Westwego/672-Wiegand-Dr-70094/home/85142248,"29.939401005367, -90.159792979322",20.3,10.1
2232 Kansas Ave,Kenner,LA,70062,175900,4,2,2400,https://www.redfin.com/LA/Kenner/2232-Kansas-Ave-70062/home/85186056,"29.996667006051, -90.235136984957",18.7,11.9
713 Lydia Ct,Marrero,LA,70072,199900,3,1.5,1422,https://www.redfin.com/LA/Marrero/713-Lydia-Ct-70072/home/85130461,"29.899744000239, -90.089985975106",14.5,7.9
80 Nassau Ave,Kenner,LA,70065,213750,3,2,2252,https://www.redfin.com/LA/Kenner/80-Nassau-Ave-70065/home/85181330,"30.027407007305, -90.235862019582",19.8,13.0
316 Capital Dr,Avondale,LA,70094,195000,3,2,1420,https://www.redfin.com/LA/Westwego/316-Capitol-Dr-70094/home/85144140,"29.917442011608, -90.222959001652",26.3,14.3
340 Azalea Dr,Waggaman,LA,70094,205000,4,2,1670,https://www.redfin.com/LA/Westwego/340-Azalea-Dr-70094/home/85143430,"29.9515540106, -90.237027020304",28.9,15.7
6444 Millender Dr,Marrero,LA,70072,194000,4,2,1417,https://www.redfin.com/LA/Marrero/6444-Millender-Dr-70072/home/85198241,"29.875767985301, -90.117666958886",18.1,10.8
6735 W Magnolia Blvd,Harahan,LA,70123,219000,3,2.5,1524,https://www.redfin.com/LA/New-Orleans/6735-W-Magnolia-Blvd-70123/home/85192647,"29.933238001509, -90.195421013141",18.4,9.3
1207 Kepler St,Gretna,LA,70053,217500,3,2,1385,https://www.redfin.com/LA/Gretna/1207-Kepler-St-70053/home/85115519,"29.922282979787, -90.044713974951",9.2,4.4
632 Fairlawn Dr,Terrytown,LA,70056,195000,2,1.5,1747,https://www.redfin.com/LA/Gretna/632-Fairlawn-Dr-70056/home/85118503,"29.905520011627, -90.036978987063",12.1,5.4
3760 W Louisiana State Dr,Kenner,LA,70065,210000,3,2,1348,https://www.redfin.com/LA/Kenner/3760-W-Louisiana-State-Dr-70065/home/195481151,"30.031342017479, -90.273703965486",23.4,15.2
1208 Maine Ave,Kenner,LA,70062,130000,3,2,1244,https://www.redfin.com/LA/Kenner/1208-Maine-Ave-70062/home/79304365,"29.990917984392, -90.233288020936",19.6,12.2
2620 Jupiter St,Harvey,LA,70058,175000,3,2.5,1990,https://www.redfin.com/LA/Harvey/2620-Jupiter-St-70058/home/85124388,"29.866951019441, -90.055410037774",17.4,9.1
136 Felicia Dr,Avondale,LA,70094,179900,4,2,1506,https://www.redfin.com/LA/Westwego/136-Felicia-Dr-70094/home/85229849,"29.91409000471, -90.203205035163",23.4,12.7
3148 Keithway Dr,Harvey,LA,70058,219500,4,2,2196,https://www.redfin.com/LA/Harvey/3148-Keith-Way-Dr-70058/home/85128782,"29.840178005323, -90.070703993584",22.3,11.9
1518 Ames Blvd,Marrero,LA,70072,154900,3,2,1353,https://www.redfin.com/LA/Marrero/1518-Ames-Blvd-70072/home/79190241,"29.887125003099, -90.114248986409",15.1,9.5
1724 Westminster Blvd,Marrero,LA,70072,205000,3,2,1690,https://www.redfin.com/LA/Marrero/1724-Westminister-Blvd-70072/home/85176798,"29.87930699246, -90.133938998978",18.9,11.2
1915 Illinois Ave,Kenner,LA,70062,220000,3,2,1200,https://www.redfin.com/LA/Kenner/1915-Illinois-Ave-70062/home/85187085,"29.991146014068, -90.239069019556",20.0,13.0
508 Ruth Dr,Avondale,LA,70094,190000,4,2.5,1800,https://www.redfin.com/LA/Westwego/508-Ruth-Dr-70094/home/85144739,"29.900753013743, -90.211017974751",25.4,13.3
625 W Niagara Cir,Terrytown,LA,70056,215000,3,2.5,1630,https://www.redfin.com/LA/Gretna/625-W-Niagara-Cir-70056/home/85116891,"29.901809007815, -90.017467006118",12.5,6.3
1805 Plaza Dr,Marrero,LA,70072,125000,3,2.5,2612,https://www.redfin.com/LA/Marrero/1805-Plaza-Dr-70072/home/85135501,"29.881119998117, -90.116052017601",16.9,10.0
374 Helis Dr,Waggaman,LA,70094,145000,3,3,1555,https://www.redfin.com/LA/Westwego/374-Helis-Dr-70094/home/85143161,"29.950071000471, -90.239701015055",29.9,15.9
4133 E Loyola Dr,Kenner,LA,70065,218500,3,2,1262,https://www.redfin.com/LA/Kenner/4133-E-Loyola-Dr-70065/home/85183861,"30.038657994028, -90.264263008844",23.8,14.9
9005 Camille Ct,River Ridge,LA,70123,199999,3,1.5,1745,https://www.redfin.com/LA/New-Orleans/9005-Camille-Ct-70123/home/85176318,"29.948832993372, -90.211675032141",20.9,10.5
525 Farmington Dr,Gretna,LA,70056,199900,4,2,1684,https://www.redfin.com/LA/Gretna/525-Farmington-Pl-70056/home/85220920,"29.904896984764, -90.030917027048",11.8,5.5
1009 S Bengal Rd,Metairie,LA,70003,220000,3,2,1219,https://www.redfin.com/LA/Metairie/1009-S-Bengal-Rd-70003/home/85176706,"29.978043003929, -90.233089034554",19.9,10.6
2633 Max Dr,Harvey,LA,70058,75000,4,3.5,2800,https://www.redfin.com/LA/Harvey/2633-Max-Dr-70058/home/85128135,"29.866153020349, -90.075261988712",17.4,9.8
815 Colony Pl,Metairie,LA,70003,214900,5,3.5,3096,https://www.redfin.com/LA/Metairie/815-Colony-Pl-70003/home/85163047,"29.9833010137, -90.193680008032",15.9,10.0
3424 Camphor St,New Orleans,LA,70118,215000,2,2.5,1491,https://www.redfin.com/LA/New-Orleans/3424-Camphor-St-70118/home/85500153,"29.973644013504, -90.124376001826",7.3,3.5
1913 Estalote Ave,Harvey,LA,70058,140000,4,2,1668,https://www.redfin.com/LA/Harvey/1913-Estalote-Ave-70058/home/85122929,"29.883477995118, -90.068421014616",14.8,8.2
181 Medical Ave,Grand Isle,LA,70358,129900,4,2,1540,https://www.redfin.com/LA/Grand-Isle/181-Medical-Ave-70358/home/85231343,"29.234335252265, -90.000704638267",156.5,106.6
756 Mystic Ave,Gretna,LA,70056,180000,3,2,1512,https://www.redfin.com/LA/Gretna/756-Mystic-Ave-70056/home/85220691,"29.896538006094, -90.020238985317",13.4,6.6
341 Gerrie Ct,Avondale,LA,70094,169900,4,1.5,1249,https://www.redfin.com/LA/Westwego/341-Gerrie-Ct-70094/home/85143511,"29.914291002748, -90.199777004402",23.8,12.8
2039 Spanish Oaks Dr,Harvey,LA,70058,119900,3,2,3000,https://www.redfin.com/LA/Harvey/2039-Spanish-Oaks-Dr-70058/home/85196369,"29.871395020686, -90.050607961626",17.3,9.1
1677 Plaza Dr,Marrero,LA,70072,120000,3,2.5,1500,https://www.redfin.com/LA/Marrero/1677-Plaza-Dr-70072/home/85136014,"29.883762979826, -90.116039025651",16.2,9.8
30 Furman Cir,Kenner,LA,70065,210000,4,2,1435,https://www.redfin.com/LA/Kenner/30-Furman-Cir-70065/home/85183777,"30.0124129979, -90.272665028587",20.2,13.9
618 Avenue H Ave,Westwego,LA,70094,158000,3,2,1781,https://www.redfin.com/LA/Westwego/618-Avenue-H-70094/home/79351909,"29.904347006187, -90.140824983893",18.2,11.4
